serial,english,part_of_speech,meaning,phonetics,banjara_english
48,alcoholic,noun,,piyōṭ,piyot
49,align,noun,,bhaḷge,bhalge
50,alike ad,verb,,kūb āc,kub aach
51,all pro,noun,,sē,se
52,alone,noun,,ēklōj,ekloj
53,aloof ad,verb,,ēklōj,ekloj
54,altogether ad,verb,,sē,se
55,altruistic,adjective,,imāni,imaani
56,always pro,noun,,kanna,kanna
57,amnesia,noun,,bhuljāyēr,bhuljaayer
58,among the stones ad,verb,,bhāṭāmā,bhaataamaa
59,amulet,noun,,mandoḷyā,mandolyaa
60,analyse,verb,,hām̐sa pāḍēr,haamsa paader
61,ancestral,adjective,,tantyā,tantyaa
62,and,conjunction,,ujji,ujji
63,anger,noun,,rīs,ris
64,anklets,unknown,,kase,kase
65,announce,verb,,elānkar,elaankar
66,annual,noun,,bārimās,baarimaas
67,answer,unknown,,javāb,javaab
68,ant,noun,,kīḍi,kidi
69,antelope,noun,,citili,chitili
70,anterior,adjective,,dharagiḍiyā,dharagidiyaa
71,anybody,unknown,,kētivatōyi,ketivatoyi
72,anyhow,unknown,,kuyim ̐ti,kuyim ti
73,anyone pro,noun,,kuṇiti,kuniti
74,anything ad,verb,,kuṇasiti,kunasiti
75,anytime ad,verb,,kannāyitōyi,kannaayitoyi
76,apology,noun,,māphikar,maaphikar
77,apple,unknown,,sēpu,sepu
78,application,verb,,rakāḍ,rakaad
79,apply,verb,,cāvajatrā,chaavajatraa
80,appoint,verb,,rakāḍ,rakaad
81,appreciate,verb,,tāriph,taariph
82,approach,noun,,galamā,galamaa
83,appropriate,adjective,,cāvajatrā,chaavajatraa
84,approximately ad,verb,,ḍhaim ̐ ḍhaim ̐si,dhaim  dhaim si
85,apricot,unknown,,jāmbu,jaambu
86,apropos ad,verb,,vēḷānam ̐,velaanam 
87,aquatic,noun,,pāṇī,paani
88,archaic,adjective,,pyānār,pyaanaar
89,architect,noun,,bhāndēvāḷō,bhaandevaalo
90,aristocrat,noun,,dhariyā,dhariyaa
91,arm,noun,,khavo,khavo
92,armpit,noun,,kāṅkō,kaanko
93,army,noun,,sipāyi,sipaayi
94,arouse,verb,,jagāvo,jagaavo
95,arrange,verb,,sadar,sadar
96,array,verb,,sodār,sodaar
97,arrest,noun,,giraphtār,giraphtaar
98,arrival,noun,,bhaḷge,bhalge
99,arrive come,verb,,āyēr,aayer
100,artist,noun,,citrakār,chitrakaar
101,as,adjective,,ōrnayi,ornayi
102,as lengthy ad,verb,,lāmbōsō,laamboso
103,as per law ad,verb,,nāyamēti,naayameti
104,ash,noun,,rāk,raak
105,ask,verb,,dhap,dhap
106,asking,noun,,savāl pūn ̄cēr,savaal pun cher
107,asthma,noun,,mōsa,mosa
108,at ad,verb,,lāram̐,laaram
109,at that time,noun,,ō vēḷāmā,o velaamaa
110,attach,verb,,cuṇṭāḍ,chuntaad
111,attain,verb,,jitlam ̐,jitlam 
112,attend,verb,,bhaḷge,bhalge
113,attention,noun,,dhyān,dhyaan
114,attire,verb,,sodār,sodaar
115,attitude,noun,,kaṇṇi,kanni
116,attraction,verb,,khyān ̄cēr,khyaan cher
117,attractive,adjective,,jīvtōḍārō,jivtodaaro
118,aubergine,noun,,vyāṅgaṇ,vyaangan
119,auction,unknown,,harrās,harraas
120,augment,verb,,kulā,kulaa
121,aunt,noun,,māmi,maami
122,authority,unknown,,nāyakīmā,naayakimaa
123,auto,noun,,āṭōrikṣā,aatorikshaa
124,avert,verb,,thamāḍ,thamaad
125,awaken,noun,,jāgan,jaagan
126,away ad,verb,,parlēvuḍi,parlevudi
127,axle,noun,,irusu,irusu
128,babble,verb,,bhaḍbhaḍiyā,bhadbhadiyaa
129,babbling,unknown,,bakro,bakro
130,baboon,noun,,haṇut,hanut
131,baby,noun,,bāḷak,baalak
132,back,noun,,pūṭo,puto
133,back pain,unknown,,chvāk dukri,chhvaak dukri
134,backbone,noun,,cvākēr haḍkā,chvaaker hadkaa
135,backward ad,verb,,lāram̐,laaram
136,backyard,noun,,khēt,khet
137,bad,verb,,kharāp,kharaap
138,bad looks from others,noun,,nan̄jar,nanjar
139,bag,unknown,,kōtli,kotli
140,balance,noun,,takḍi,takdi
141,ball,noun,,ceṇḍu,chendu
142,ball of string,adjective,,ḍhērā,dheraa
143,banana,noun,,kēḷā,kelaa
144,band,noun,,nāḍa,naada
145,bandicoot,noun,,ḍhūm̐s,dhums
146,bandy,verb,,kerā,keraa
147,bang,noun,,bandukēr cōṭ,banduker chot
148,bangle,noun,,baṅgḍī,bangdi
149,bank,noun,,konorā,konoraa
150,barber,noun,,nāvi,naavi
151,bargain,noun,,mōlkarēr,molkarer
152,barking,noun,,basro,basro
153,barn,noun,,gāb,gaab
154,barren,noun,,paḍāv,padaav
155,base,adjective,,taḷ,tal
156,basil,noun,,toḷcim ̐,tolchim 
157,basket,unknown,,ōlḍā,oldaa
158,bassia,noun,,ambāḍīr bhājji,ambaadir bhaajji
159,bath,noun,,haṅgōḷi,hangoli
160,bay,noun,,rātḍō,raatdo
161,be,verb,,vējā,vejaa
162,be concave,noun,,khōbo,khobo
163,be stuck,verb,,sāṅkḍo,saankdo
164,beam,noun,,dōni,doni
165,bean,noun,,vāloḷi,vaaloli
166,beard,noun,,ḍvāḍi,dvaadi
167,beat,noun,,cōṭ,chot
168,became good,verb,,āccovēgo,aachchovego
169,because ad,verb,,hanukan,hanukan
170,because of,conjunction,,kāṇṇam ̐,kaannam 
171,because of that,unknown,,jannāj,jannaaj
172,becoming bankrupt,unknown,,bhikāri yego,bhikaari yego
173,becoming fat,unknown,,jāḍōvēr,jaadover
174,becoming separate,verb,,ṭāḷ,taal
175,becoming unconscious,unknown,,ghēri āyer,gheri aayer
176,bed,noun,,godḍi,goddi
177,bedspread,noun,,ceddar,cheddar
178,bee,noun,,phūndā,phundaa
179,beed,noun,,lālḍi,laaldi
180,before ad,verb,,āṅgam ̐,aangam 
181,ad,verb,,dharagaḍiyā,dharagadiyaa
182,begging,noun,,bhīk,bhik
183,beginning,noun,,suru,suru
184,behave,verb,,cam̐lāyēr,chamlaayer
185,behind,noun,,pāccam ̐,paachcham 
186,being affectionate,noun,,khūbāc,khubaach
187,being at the back,unknown,,lāram̐,laaram
188,being conscious,unknown,,jāgrōcam ̐,jaagrocham 
189,being ill,unknown,,tan̄jro,tanjro
190,being itchy,unknown,,bhaḷbhaḷāyēr,bhalbhalaayer
191,being proud,noun,,masti,masti
192,being rough,adjective,,khān̄cāḷō,khaanchaalo
193,being spread,noun,,jhamjāyēr,jhamjaayer
194,being sticky,unknown,,gūndērnai,gundernai
195,believe,verb,,viśvās,vishvaas
196,belly,noun,,pēṭ,pet
197,belongings,noun,,jām̐yijāt,jaamyijaat
198,beloved,verb,,vālō,vaalo
199,belt,noun,,paṭṭeḍā,pattedaa
200,bend,verb,,navādam ̐,navaadam 
201,bends,noun,,navan,navan
202,besides ad,verb,,natō,nato
203,bet,noun,,sertu,sertu
204,between,adjective,,vaccēla,vachchela
205,beverage,noun,,pāṇī,paani
206,big ad,verb,,asmān,asmaan
207,big ant,unknown,,makōḍa,makoda
208,big bundle of hay,unknown,,parāḷērvāmi,paraalervaami
209,big needle,unknown,,sūyō,suyo
210,big spoon,noun,,korco,korcho
211,big tiger,noun,,janāvar,janaavar
212,big water container for drinking,noun,,kōlḍi,koldi
213,big way,adjective,,mōṭōso,motoso
214,bight,noun,,phando,phando
215,bile,noun,,gumḍi,gumdi
216,bind,verb,,bhāndinō,bhaandino
217,binding,noun,,jimmedāri,jimmedaari
218,bird,noun,,piṭṭa,pitta
219,bird of quail genus,unknown,,ṭōliyā,toliyaa
220,birth,noun,,janam,janam
221,birth defect,unknown,,gyāṇōhuyō,gyaanohuyo
222,bit,noun,,tunka,tunka
223,bitch,noun,,kotri,kotri
224,bite,verb,,gāṇṭ,gaant
225,bitter,adjective,,kuḍi,kudi
226,bitter gourd,noun,,karēlā,karelaa
227,bit piece strip,noun,,pēḍ,ped
228,black,noun,,kāḷō,kaalo
229,blacksmith,noun,,kamār,kamaar
230,blade,noun,,patti,patti
231,blanket,noun,,ghūṅgḍi,ghungdi
232,blast,verb,,phōḍ,phod
233,blaze,noun,,hōḷi,holi
234,blazer,noun,,kōṭ,kot
235,bleat,verb,,guṇasro,gunasro
236,bleeding from wound,noun,,rād,raad
237,blend,verb,,bhaḷge,bhalge
238,blight,noun,,kośāri,koshaari
239,blind,adjective,,āndi,aandi
240,blind belief,noun,,āndimānēr,aandimaaner
241,block,noun,,bigaḍāyēr,bigadaayer
242,blockade,verb,,ghērlo,gherlo
243,blood,noun,,lōyi,loyi
244,blouse,noun,,kān̄cḷī,kaanchli
245,blow,noun,,phuṅkār,phunkaar
246,blue,noun,,nīlo,nilo
247,body,noun,,jīvḍā,jivdaa
248,bog,noun,,bāḍavā,baadavaa
249,boil,noun,,ukaḷrō,ukalro
250,boiled,noun,,ukaḷgī,ukalgi
251,boil blister,noun,,phōḍā,phodaa
252,bolt,noun,,cilla,chilla
253,bondage,noun,,kaṭbhand,katbhand
254,bone,unknown,,haḍaka,hadaka
255,bookshelf,unknown,,vair arrā,vair arraa
256,boot,noun,,jūtē,jute
257,bore,noun,,kaṭāḷo,kataalo
258,born,adjective,,huyō,huyo
259,bossism,unknown,,hukmat,hukmat
260,bottle,verb,,loṭimā pakaḍ,lotimaa pakad
261,bottom,adjective,,hēṭam ̐,hetam 
262,boulder,noun,,bhāṭa,bhaata
263,bounce,noun,,dhakkā,dhakkaa
264,boundary,noun,,ilākō,ilaako
265,bow,noun,,bāṇaṁ,baanam
266,bow before god,noun,,dhōk,dhok
267,bowl,verb,,raḍāyēr,radaayer
268,box,noun,,pipā,pipaa
269,boy,noun,,chvārā,chhvaaraa
270,boyish,adjective,,nānkā,naankaa
271,bracelet,noun,,kolḍā,koldaa
272,brain,noun,,bhējo,bhejo
273,bran,noun,,cūro,churo
274,branch,noun,,ḍvāḷi,dvaali
275,branching,noun,,phyālgi,phyaalgi
276,brass,adjective,,pitlo,pitlo
277,bread,noun,,bāṭi,baati
278,break,verb,,tōḍ,tod
279,break it,verb,,ṭōḍnākō,todnaako
280,breast,noun,,baccir,bachchir
281,breath,noun,,vām̐s,vaams
282,breed,noun,,jāt,jaat
283,brick,unknown,,iṭika,itika
284,bride,noun,,navlēri,navleri
285,bright,adjective,,jhāṅkrō,jhaankro
286,bristle,noun,,pōsa,posa
287,broken,unknown,,ṭūṭ gī,tut gi
288,broken hard coconut,noun,,kāclī,kaachli
289,brooks,noun,,khāḷyā,khaalyaa
290,broomstick,noun,,bāṇṇi,baanni
291,brother,noun,,bhāyi,bhaayi
292,brother-in-law,noun,,bhanōyi,bhanoyi
293,brush,noun,,kulā,kulaa
294,brushing,unknown,,mān̄jēr,maanjer
295,bucket,noun,,bokkena,bokkena
296,Buddhism,adjective,,baudda jāt,baudda jaat
297,buffalo,noun,,bhyām ̐sā,bhyaam saa
298,bug,noun,,kośāri,koshaari
